"Window Length","Window Start","HFC"
"100","20","228.462371826172"
"100","50","217.428665161133"
"100","100","135.669723510742"
"250","20","137.585372924805"
"250","50","125.992729187012"
"250","100","69.8765563964844"
"500","20","72.4077682495117"
"500","50","65.9978713989258"
"500","100","36.4777221679688"
"0","0","10.4103193283081"
"25","20","108.595306396484"
"25","50","84.8227233886719"
"25","100","46.1268005371094"
"100","20","45.275764465332"
"100","50","37.1623764038086"
"100","100","21.1803588867188"
"250","20","19.2723789215088"
"250","50","15.8439197540283"
"250","100","9.05114650726318"
"500","20","10.4519100189209"
"500","50","8.5930700302124"
"500","100","5.0311393737793"
"0","0","28.3578205108643"
"25","20","134.23176574707"
"25","50","115.66382598877"
"25","100","50.8588218688965"
"100","20","55.2861595153809"
"100","50","45.9661750793457"
"100","100","20.0100002288818"
"250","20","25.1761798858643"
"250","50","21.4208335876465"
"250","100","9.8234748840332"
"500","20","25.1761798858643"
"500","50","21.4208335876465"
"500","100","9.8234748840332"
"0","0","101.966728210449"
"25","20","411.597534179688"
"25","50","371.303955078125"
"25","100","266.405242919922"
"100","20","370.84716796875"
"100","50","339.194915771484"
"100","100","218.962936401367"
"250","20","185.124755859375"
"250","50","168.139175415039"
"250","100","103.563148498535"
"500","20","98.0288848876953"
"500","50","90.0854644775391"
"500","100","58.9923858642578"
"0","0","15.9995565414429"
"25","20","89.3399124145508"
"25","50","79.9258270263672"
"25","100","45.7389373779297"
"100","20","35.8780097961426"
"100","50","32.0346755981445"
"100","100","18.8787689208984"
"250","20","15.3859691619873"
"250","50","13.7364845275879"
"250","100","8.14217185974121"
"500","20","14.1307744979858"
"500","50","12.6158313751221"
"500","100","7.79607629776001"
"0","0","4.50159883499146"
"25","20","63.3538017272949"
"25","50","39.1799278259277"
"25","100","20.1920261383057"
"100","20","24.501033782959"
"100","50","16.5528869628906"
"100","100","8.89699649810791"
"250","20","10.6876401901245"
"250","50","7.3239426612854"
"250","100","4.04882717132568"
"500","20","5.47672891616821"
"500","50","3.75603628158569"
"500","100","2.07946467399597"
"0","0","14.8592472076416"
"25","20","158.243362426758"
"25","50","132.898468017578"
"25","100","112.054756164551"
"100","20","114.901420593262"
"100","50","101.528999328613"
"100","100","70.8257369995117"
"250","20","57.5736274719238"
"250","50","51.0872650146484"
"250","100","36.4441947937012"
"500","20","30.2915115356445"
"500","50","26.9038524627686"
"500","100","19.2906646728516"
"0","0","18.601432800293"
"25","20","201.425704956055"
"25","50","147.127456665039"
"25","100","94.882682800293"
"100","20","122.078063964844"
"100","50","101.119575500488"
"100","100","69.0284652709961"
"250","20","59.0126266479492"
"250","50","49.6166648864746"
"250","100","34.4344444274902"
"500","20","30.6678237915039"
"500","50","25.8356819152832"
"500","100","17.9147815704346"
"0","0","164.852035522461"
"25","20","330.777252197266"
"25","50","329.050048828125"
"25","100","304.275421142578"
