Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Alesis DM5,ki,0.274285714,47.07069778,3.257828474,-0.12704118,0.136283994,1118.93457,1.488470674,0.930260718
Alesis DM5,ki,0.424489796,72.782341,5.088611126,0.801323799,0.207067892,892.2908325,6.81391573,0.794737816
Alesis DM5,ki,0.376598639,48.7397995,4.587809563,-1.277929652,0.185738593,1553.088135,4.703065872,0.728703976
Alesis DM5,ki,0.724172336,134.095047,6.054977894,2.442572969,0.33882001,543.3845825,27.17490196,0.455747694
Alesis DM5,ki,0.430294785,86.275383,8.087914467,1.844736349,0.212709442,1273.57312,3.833287477,0.641482055
Alesis DM5,ki,0.433197279,50.69397736,4.23075676,-1.631183861,0.21070306,893.4291992,2.724544287,0.66214627
Alesis DM5,ki,0.30984127,91.11978912,14.28773689,3.625121472,0.159804702,1503.887207,15.93158531,0.27082786
Alesis DM5,ki,0.316371882,135.6927948,7.082205296,6.115789546,0.163510606,906.1258545,26.43470001,0.508753002
Alesis DM5,ki,0.401269841,63.05770874,4.656612396,0.1159619,0.197339341,991.7024536,32.21034241,0.804676235
Alesis DM5,ki,0.448435374,89.79074097,4.411876678,1.924274546,0.218011633,1167.516968,10.77089119,0.706393003
Alesis DM5,ki,0.175600907,85.07320404,3.645422459,5.646734712,0.090209603,1027.9021,18.48963737,0.806905985
Alesis DM5,ki,0.560181406,54.89217377,2.978611231,-2.231705615,0.266623467,1466.237427,10.04312229,0.761925757
Alesis DM5,ki,0.230748299,57.64317703,4.462376595,1.936997537,0.117813125,1485.993652,39.91044235,0.739484966
Alesis DM5,ki,0.488344671,46.98544693,2.927398682,-2.644023684,0.236498639,731.656189,13.59607124,0.821024001
Alesis DM5,ki,0.1661678,60.62294388,4.300665855,3.689617316,0.084102519,1033.321899,19.62210083,0.869070232
Alesis DM5,ki,0.763356009,60.70175171,5.152522564,-2.923764308,0.355179638,1198.156006,2.878726482,0.6807127
