Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1076,EKO Rhythm Box,ki,0.216961451,0.225823053,-0.466827036,-0.136830553,-0.504065043,-1.366290924,0.275874473,1.336169137
1077,EKO Rhythm Box,sn,0.175600907,-0.542026327,-0.198035684,0.524768929,-0.649498977,-0.929542574,-0.373548564,1.165892996
1078,Electro Harmonix DRM-16,ki,0.216961451,-0.03200171,-0.836708446,-1.401496641,-0.494394773,-1.425993521,1.563020205,1.388638771
1079,Electro Harmonix DRM-16,ki,0.254693878,-0.091754096,-0.853357165,-1.638917392,-0.368322311,-1.435251503,1.344510757,1.373647282
1080,Electro Harmonix DRM-16,ki,0.260498866,0.086884522,-0.831294174,-1.524551397,-0.347118326,-1.40096037,0.998118501,1.327830013
1081,Electro Harmonix DRM-16,ki,0.257596372,0.066821909,-0.833447127,-1.527569106,-0.357128009,-1.408545897,0.904553848,1.339028782
1082,Electro Harmonix DRM-16,ki,0.276462585,0.10739108,-0.825523505,-1.542213602,-0.291626417,-1.388238171,0.778157595,1.281675022
1083,Electro Harmonix DRM-16,ki,0.25324263,0.067405262,-0.833609517,-1.514101693,-0.373518918,-1.408294842,1.007442165,1.338673236
1084,Electro Harmonix DRM-16,sn,0.372244898,-0.80418528,-0.814448727,-1.733214981,0.004489259,0.453117674,-0.34420694,-0.960773754
1085,Electro Harmonix DRM-16,sn,0.357006803,-0.823117084,-0.82293197,-1.74387602,-0.04348103,0.483776512,-0.341233552,-0.852522887
1086,Electro Harmonix DRM-16,sn,0.160362812,-0.834006738,-0.638587327,-0.320441605,-0.689651331,1.593756599,-0.35469992,-1.3981977
1087,Electro Harmonix DRM-16,sn,0.327981859,-0.822270111,-0.821985118,-1.66702812,-0.141442094,0.26851956,-0.33950808,-0.453052883
1088,Electro Harmonix DRM-16,sn,0.33015873,-0.843210863,-0.638932062,-0.931912599,-0.098684513,1.334282608,-0.340851359,-1.775623225
1089,Electro Harmonix DRM-32,ki,0.391111111,-0.184145779,-0.801284819,-1.702991702,0.085153453,-1.412179196,0.299459437,1.233701794
1090,Electro Harmonix DRM-32,ki,0.54276644,-0.183969487,-0.801148948,-1.983030926,0.589700383,-1.412050806,0.133482878,1.047835337
1091,Electro Harmonix DRM-32,ki,0.399818594,-0.564215427,-0.861957492,-2.076261578,0.10915851,-1.413728097,0.39428869,1.237523912
1092,Electro Harmonix DRM-32,ki,0.498503401,-0.183586873,-0.801242974,-1.911597424,0.440626828,-1.41205343,0.161350273,1.11567307
1093,Electro Harmonix DRM-32,sn,0.416507937,-0.220465374,-0.654337623,-1.176354858,0.154340072,0.414362284,-0.365923769,-0.032734026
1094,Electro Harmonix DRM-32,sn,0.10521542,-0.687290055,-0.383165802,0.647753514,-0.91049623,-0.52913736,-0.352445441,0.882402119
1095,Electro Harmonix DRM-32,sn,0.142947846,-0.698414786,-0.413722261,0.325604917,-0.77856814,-1.109033901,-0.34328155,1.228418836
1096,Electro Harmonix DRM-32,sn,0.3969161,-0.695771555,-0.408942716,-0.528223018,0.082451136,-1.105825538,-0.359340646,0.130952018
1097,Electro Harmonix DRM-32,sn,0.480362812,-0.700986432,-0.418207186,-0.707852122,0.354088596,-1.109563568,-0.361427852,-0.260084073
1098,Electro Harmonix Drm15,ki,0.288072562,0.607028712,-0.483196192,-0.406705095,-0.251831241,-1.422738253,5.277758886,1.349689602
1099,Electro Harmonix Drm15,sn,0.123356009,-0.909327953,-0.801561506,-0.724290067,-0.842617565,0.159851407,-0.393111056,0.276572814
1100,Ensoniq Asr-x,ki,0.346848073,0.075437175,-0.60162091,-0.864279452,-0.082538664,0.569964714,-0.334075243,-0.750231928
1101,Ensoniq Asr-x,ki,1.098594104,2.19128864,-0.889551085,-3.12955301,2.258480369,-1.424596462,0.492718489,0.695511384
1102,Ensoniq Asr-x,ki,0.229297052,1.209421292,-0.435275565,-0.117226253,-0.456466209,-0.210621313,1.057732701,0.629758548
1103,Ensoniq Asr-x,ki,0.791655329,5.61726478,-0.503956696,-1.313812422,1.397471344,-1.47544748,2.83956007,1.224884211
1104,Ensoniq Asr-x,ki,0.372244898,1.335600902,-0.336554853,-0.339230166,0.013972326,0.466469628,-0.283562498,-1.188968223
1105,Ensoniq Asr-x,ki,0.144399093,0.944165684,-0.647341886,-0.258865518,-0.769801254,-0.120176837,-0.178982693,-0.171678152
1106,Ensoniq Asr-x,ki,0.375147392,0.671563555,-0.481894425,-0.632672216,0.030907777,0.106137205,-0.238770084,0.008208376
1107,Ensoniq Asr-x,ki,0.454965986,0.707869076,-0.294954651,-0.437468509,0.311019939,-1.071663117,-0.335477752,1.016068611
1108,Ensoniq Asr-x,ki,0.356281179,0.444030114,-0.32451403,-0.28018325,-0.026517026,-0.571303965,-0.360588531,0.78326686
1109,Ensoniq Asr-x,ki,0.399818594,2.207114658,-0.276538524,-0.297889664,0.104990233,-0.421010247,-0.295069452,0.226066553
1110,Ensoniq Asr-x,ki,0.826485261,0.552017896,-0.763548278,-2.161713228,1.454102251,-0.050078925,-0.136509789,0.042459062
1111,Ensoniq Asr-x,ki,0.181405896,0.680740214,0.108047763,0.878713921,-0.638701516,0.680821931,-0.284331634,-0.795892488
1112,Ensoniq Asr-x,ki,0.253968254,1.231050515,-0.363726347,-0.064945434,-0.367932662,0.463447752,-0.308344745,0.24988581
1113,Ensoniq Asr-x,ki,0.380952381,1.419451451,0.506820319,0.624566397,0.065178955,0.486677356,-0.364368524,-0.28705556
1114,Ensoniq Asr-x,ki,1.776326531,9.958272768,-0.858021289,-3.310863333,4.101349048,-1.433507591,0.572210613,0.047675818
1115,Ensoniq Asr-x,ki,0.132789116,0.695153832,-0.542506601,0.103177341,-0.80565051,0.994353561,-0.366790651,-0.388853245
1116,Ensoniq Asr-x,sn,0.146575964,-0.824869162,-0.544156564,0.0157095,-0.745685689,0.329026241,-0.351025906,-0.795921075
